question,answer,competency,human_score
"Tell me about a situation where you demonstrated Communication, Negotiation, Customer Focus in your role as a Sales Executive","As a Sales Executive in the Sales department I was responsible for maintaining high performance while balancing work commitments (involvement level: 3) and work-life balance (level: 1) I focused on key responsibilities, collaborated with team members, and maintained professional development This resulted in achieving a performance rating of 3","['Communication', 'Negotiation', 'Customer Focus']",2
"Tell me about a situation where you demonstrated Technical Expertise, Analysis, Innovation in your role as a Research Scientist","As a Research Scientist in the Research & Development department I was responsible for maintaining high performance while balancing work commitments (involvement level: 2) and work-life balance (level: 3) I focused on key responsibilities, collaborated with team members, and maintained professional development This resulted in achieving a performance rating of 4","['Technical Expertise', 'Analysis', 'Innovation']",3
"Tell me about a situation where you demonstrated Technical Skills, Attention to Detail, Safety Compliance in your role as a Laboratory Technician","As a Laboratory Technician in the Research & Development department I was responsible for maintaining high performance while balancing work commitments (involvement level: 2) and work-life balance (level: 3) I focused on key responsibilities, collaborated with team members, and maintained professional development This resulted in achieving a performance rating of 3","['Technical Skills', 'Attention to Detail', 'Safety Compliance']",2
"Tell me about a situation where you demonstrated Technical Expertise, Analysis, Innovation in your role as a Research Scientist","As a Research Scientist in the Research & Development department I was responsible for maintaining high performance while balancing work commitments (involvement level: 3) and work-life balance (level: 3) I focused on key responsibilities, collaborated with team members, and maintained professional development This resulted in achieving a performance rating of 3","['Technical Expertise', 'Analysis', 'Innovation']",2
"Tell me about a situation where you demonstrated Technical Skills, Attention to Detail, Safety Compliance in your role as a Laboratory Technician","As a Laboratory Technician in the Research & Development department I was responsible for maintaining high performance while balancing work commitments (involvement level: 3) and work-life balance (level: 3) I focused on key responsibilities, collaborated with team members, and maintained professional development This resulted in achieving a performance rating of 3","['Technical Skills', 'Attention to Detail', 'Safety Compliance']",2
"Tell me about a situation where you demonstrated Technical Skills, Attention to Detail, Safety Compliance in your role as a Laboratory Technician","As a Laboratory Technician in the Research & Development department I was responsible for maintaining high performance while balancing work commitments (involvement level: 3) and work-life balance (level: 2) I focused on key responsibilities, collaborated with team members, and maintained professional development This resulted in achieving a performance rating of 3","['Technical Skills', 'Attention to Detail', 'Safety Compliance']",2
"Tell me about a situation where you demonstrated Technical Skills, Attention to Detail, Safety Compliance in your role as a Laboratory Technician","As a Laboratory Technician in the Research & Development department I was responsible for maintaining high performance while balancing work commitments (involvement level: 4) and work-life balance (level: 2) I focused on key responsibilities, collaborated with team members, and maintained professional development This resulted in achieving a performance rating of 4","['Technical Skills', 'Attention to Detail', 'Safety Compliance']",2
"Tell me about a situation where you demonstrated Technical Skills, Attention to Detail, Safety Compliance in your role as a Laboratory Technician","As a Laboratory Technician in the Research & Development department I was responsible for maintaining high performance while balancing work commitments (involvement level: 3) and work-life balance (level: 3) I focused on key responsibilities, collaborated with team members, and maintained professional development This resulted in achieving a performance rating of 4","['Technical Skills', 'Attention to Detail', 'Safety Compliance']",3
"Tell me about a situation where you demonstrated Leadership, Operations Management, Strategic Planning in your role as a Manufacturing Director","As a Manufacturing Director in the Research & Development department I was responsible for maintaining high performance while balancing work commitments (involvement level: 2) and work-life balance (level: 3) I focused on key responsibilities, collaborated with team members, and maintained professional development This resulted in achieving a performance rating of 4","['Leadership', 'Operations Management', 'Strategic Planning']",3
"Tell me about a situation where you demonstrated Healthcare Knowledge, Patient Care, Compliance in your role as a Healthcare Representative","As a Healthcare Representative in the Research & Development department I was responsible for maintaining high performance while balancing work commitments (involvement level: 3) and work-life balance (level: 2) I focused on key responsibilities, collaborated with team members, and maintained professional development This resulted in achieving a performance rating of 3","['Healthcare Knowledge', 'Patient Care', 'Compliance']",2
"Tell me about a situation where you demonstrated Technical Skills, Attention to Detail, Safety Compliance in your role as a Laboratory Technician","As a Laboratory Technician in the Research & Development department I was responsible for maintaining high performance while balancing work commitments (involvement level: 4) and work-life balance (level: 3) I focused on key responsibilities, collaborated with team members, and maintained professional development This resulted in achieving a performance rating of 3","['Technical Skills', 'Attention to Detail', 'Safety Compliance']",2
"Tell me about a situation where you demonstrated Technical Skills, Attention to Detail, Safety Compliance in your role as a Laboratory Technician","As a Laboratory Technician in the Research & Development department I was responsible for maintaining high performance while balancing work commitments (involvement level: 2) and work-life balance (level: 3) I focused on key responsibilities, collaborated with team members, and maintained professional development This resulted in achieving a performance rating of 3","['Technical Skills', 'Attention to Detail', 'Safety Compliance']",3
"Tell me about a situation where you demonstrated Technical Expertise, Analysis, Innovation in your role as a Research Scientist","As a Research Scientist in the Research & Development department I was responsible for maintaining high performance while balancing work commitments (involvement level: 3) and work-life balance (level: 2) I focused on key responsibilities, collaborated with team members, and maintained professional development This resulted in achieving a performance rating of 3","['Technical Expertise', 'Analysis', 'Innovation']",2
