ai_score,star_score,tf_level,length_quality,star_components,level_scores,human_score,is_interpretable,question,competency,employee_id,difference,absolute_error,status
4,4,2,1.0,"{'situation': True, 'task': True, 'action': True, 'result': True}","{1: 0.30000000000000004, 2: 0.31851851851851853, 3: 0.30000000000000004, 4: 0.30000000000000004, 5: 0.30000000000000004}",4,True,Tell me about a time you led a challenging project.,Leadership,1,0.0,0.0,Accurate
4,4,2,0.7,"{'situation': True, 'task': True, 'action': True, 'result': True}","{1: 0.1, 2: 0.12127659574468086, 3: 0.1, 4: 0.1, 5: 0.1}",3,True,Describe a situation where you worked with a difficult team member.,Teamwork,2,1.0,1.0,Inaccurate
1,1,0,0.7,"{'situation': True, 'task': False, 'action': False, 'result': False}","{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",3,True,Give an example of when you had to make an ethical decision.,Integrity,3,-2.0,2.0,Inaccurate
2,2,2,0.7,"{'situation': True, 'task': False, 'action': True, 'result': False}","{1: 0.1, 2: 0.14878048780487807, 3: 0.1, 4: 0.1, 5: 0.1}",4,True,Tell me about a time you had to present complex information.,Communication,4,-2.0,2.0,Inaccurate
2,2,2,0.7,"{'situation': False, 'task': False, 'action': True, 'result': True}","{1: 0.1, 2: 0.14651162790697675, 3: 0.1, 4: 0.1, 5: 0.1}",4,True,Describe how you exceeded targets in your previous role.,Result Oriented,5,-2.0,2.0,Inaccurate
1,1,0,0.7,"{'situation': False, 'task': False, 'action': False, 'result': True}","{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",4,True,Tell me about a complex problem you solved.,Problem Solving,6,-3.0,3.0,Inaccurate
2,2,2,0.7,"{'situation': False, 'task': True, 'action': False, 'result': True}","{1: 0.0, 2: 0.06666666666666667, 3: 0.06666666666666667, 4: 0.03333333333333333, 5: 0.0}",2,True,Describe your leadership style with examples.,Leadership,7,0.0,0.0,Accurate
0,0,0,0.3,"{'situation': False, 'task': False, 'action': False, 'result': False}","{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",1,False,How do you handle conflicts in a team?,Teamwork,8,,,Uninterpretable
2,1,3,0.3,"{'situation': False, 'task': True, 'action': False, 'result': False}","{1: 0.0, 2: 0.0, 3: 0.09090909090909091, 4: 0.0, 5: 0.0}",2,True,What strategies do you use to achieve results?,Result Oriented,9,0.0,0.0,Accurate
0,0,0,0.3,"{'situation': False, 'task': False, 'action': False, 'result': False}","{1: 0.0, 2: 0.0, 3: 0.0, 4: 0.0, 5: 0.0}",1,False,Give an example of effective communication.,Communication,10,,,Uninterpretable
